market_date,mean_sentiment,tweet_count,GLD,SPY,USO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-10-28,0.0301358401227523,34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-10-29,-0.0693891369982769,38,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0
2020-10-30,-0.1529919565410206,38,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2020-11-02,-0.1098376347940286,59,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-11-03,0.0021327296107413,76,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-11-04,-0.1800606912456227,77,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0
2020-11-05,-0.0155638589523732,41,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-11-06,-0.2043780120710532,30,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0
2020-11-09,-0.0590507669063905,24,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0
2020-11-10,-0.1199584684911228,21,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
2020-11-11,-0.1157908803947708,34,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0
2020-11-12,-0.0778300772470079,38,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-11-13,-0.111589079589716,28,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-11-16,-0.0846987697694982,35,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2020-11-17,-0.0622899898032589,41,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2020-11-18,-0.1781875227968539,31,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-11-19,-0.1311160907277773,29,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0
2020-11-20,-0.1898018004291731,23,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
2020-11-23,-0.1180780977500896,38,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0
2020-11-24,-0.2222686834101166,35,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-11-25,0.0013117494958418,27,0.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,-1.0,0.0
2020-11-27,-0.2943743629114968,35,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0
2020-12-01,-0.2077941346881735,35,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-12-02,-0.1229562311508189,59,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1.0
2020-12-03,-0.263017940132423,83,1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0
2020-12-04,-0.2143805765822805,54,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0
2020-12-07,-0.0428819895605556,32,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0
2020-12-08,-0.1585001999379268,28,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
2020-12-09,-0.0400231943465769,40,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
2020-12-10,-0.2035894708974021,35,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
2020-12-11,-0.1520015724106795,36,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0
2020-12-14,-0.0614816170185804,30,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
2020-12-15,-0.2199001771419547,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-12-16,-0.0604971032041837,34,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0
